cid,name,size,mimeType,uploadStatus,isDownloadable,downloadError,errorType,fileType,timestamp
"bafkr6idgzvge5x3jtiacbhf7c7ptb2byrzmbzvm527yle2wpjqzzrq5ucq","Autonomys illustration 1.jpg","2167378","image/jpeg","","false","Failed to download file: <none>","not_found","","1754597452032"
"bafkr6ifzat4xm6mf5d6rq76b7go4k772kn7iuypo6hqntht7js4sfbso4m","9eqbym.jpg","57501","image/jpeg","","false","Failed to download file: <none>","not_found","","1754597552691"
